model,n_params,serialized_bytes,serialized_kb,mean_ms,median_ms,p95_ms,std_ms,n,runtime
logreg_production,540,7921,7.74,0.0627864501439035,0.0609374837949872,0.06539760215673593,0.00771785501379078,40.0,cpython-sklearn
zone_gbm,0,740082,722.74,0.32949789747362956,0.31431252136826515,0.4077413352206349,0.037452939389520025,40.0,cpython-sklearn
threshold_heuristic,,2179,2.13,0.012765571591444314,0.012708012945950031,0.013339240103960037,0.00026006061274140693,40.0,cpython-sklearn
logreg,540,7921,7.74,0.06517509900731966,0.06225050310604274,0.07095354085322467,0.012719133998878565,40.0,cpython-sklearn
decision_tree,,11922,11.64,0.04147290310356766,0.04147901199758053,0.042889558244496584,0.0009851424435580436,40.0,cpython-sklearn
linear_svm,540,7773,7.59,0.06790607294533402,0.06322900298982859,0.07595211791340258,0.018395805180323986,40.0,cpython-sklearn
random_forest,0,3632682,3547.54,13.124740800412837,12.695291981799528,13.992344107828101,2.1606667012231475,40.0,cpython-sklearn
