subject_id,take_id,n_samples,n_motion_frames,motion_pressure_ratio,speed_m_s_assumed_64hz,left_n_steps,right_n_steps,left_copy_r,right_copy_r,exclude_pressure,exclude_mocap
P1,M1,276,822,2.9782608695652173,1.334321647497696,6,7,0.9164847129622652,-0.21680562908646367,False,False
P1,M2,278,827,2.9748201438848922,1.3459498823431066,7,7,0.9133979895185342,-0.20071581858475152,False,False
P1,M3,281,839,2.98576512455516,1.3613852163222524,7,6,0.9021228585314316,-0.1202025813547121,False,False
P1,M4,272,811,2.9816176470588234,1.376170192876214,6,7,0.9060053251894904,-0.013843394531555505,False,False
P1,M5,280,832,2.9714285714285715,1.3477086537827034,4,6,0.9095428320021294,-0.201384657635387,False,False
P1,M6,274,815,2.9744525547445257,1.3964825426000396,5,6,0.8983723918298151,-0.22244628502218958,False,False
P1,M7,249,743,2.9839357429718874,1.4814815966664663,5,5,0.9178173523275162,-0.2163631643840513,False,False
P1,M8,311,927,2.9807073954983925,1.2224138198630479,7,8,0.9056936102051758,-0.029401981337777564,False,False
P1,M9,268,797,2.9738805970149254,1.3916081766420336,6,5,0.9027919729680166,-0.24139994317017924,False,False
P1,M10,278,829,2.9820143884892087,1.361058289496295,6,6,0.9080774643776105,-0.056838866283525094,False,False
P2,M1,302,902,2.986754966887417,1.2427188905081463,8,7,0.8947416737849762,-0.1270086808772301,False,False
P2,M2,299,890,2.9765886287625416,1.2347143367091495,7,5,0.9225432087568138,-0.11666974769809091,False,False
P2,M3,287,855,2.9790940766550524,1.277112075493827,7,6,0.8560347252284685,-0.03808932475619715,False,False
P2,M4,273,815,2.9853479853479854,1.3255173330004697,7,4,0.8825293142152325,-0.09618623547017525,False,False
P2,M5,293,874,2.9829351535836177,1.2277565966043704,7,4,0.9166875106216618,-0.06638275138365315,False,False
P2,M6,292,869,2.9760273972602738,1.2483943663351267,7,5,0.8566045126467701,-0.03538994898548091,False,False
P2,M7,287,852,2.9686411149825784,1.2318890600490235,7,5,0.8891865881694013,-0.029234102827278435,False,False
P2,M8,296,881,2.9763513513513513,1.208402858917738,7,5,0.8830631512211233,-0.14739143642027405,False,False
P2,M9,290,864,2.9793103448275864,1.238471105440387,8,5,0.8756227576739892,-0.13173156096500827,False,False
P2,M10,297,885,2.9797979797979797,1.20676035052537,7,5,0.822694418392795,-0.08214455213962002,False,False
P3,M1,248,738,2.975806451612903,1.385506082204737,5,4,0.9311715031860889,0.5027569142044717,False,False
P3,M2,255,761,2.984313725490196,1.329772663289436,7,4,0.9199816139587905,0.5214819898031179,False,False
P3,M3,264,788,2.984848484848485,1.3069045267159447,8,5,0.913307770249123,0.5040534613915155,False,False
P3,M4,243,720,2.962962962962963,1.3842605654613716,7,4,0.9235355121941763,0.5045318806999737,False,False
P3,M5,43,791,18.3953488372093,8.219241823057429,1,1,0.9211770174722909,0.6833198080060048,False,False
P3,M6,15,747,49.8,21.889893113639292,1,1,0.8037128380801662,0.8687742670713327,False,False
P3,M7,280,830,2.9642857142857144,1.3496220948840445,8,5,0.9193017319638379,0.5082692631747382,False,False
P3,M8,18,,,,1,1,0.924599331161294,-0.10542694243647303,False,True
P3,M9,250,745,2.98,1.3154562041846731,7,4,0.8840233015021599,0.6131113086153794,False,False
P3,M10,263,782,2.973384030418251,1.3260799408812016,7,4,0.9235192238314617,0.5425941656180775,False,False
P4,M1,348,1038,2.9827586206896552,1.050143387417175,8,4,0.9714275952245292,0.17259732744181303,False,False
P4,M2,380,1131,2.9763157894736842,1.0188887039304881,7,5,0.9743852122256954,0.1395229383354154,False,False
P4,M3,368,1095,2.9755434782608696,1.012380464505353,8,5,0.9715132208592225,0.13857026775228373,False,False
P4,M4,354,1053,2.9745762711864407,1.0535279132870672,8,5,0.9769645557979436,0.16511545155486598,False,False
P4,M5,327,974,2.978593272171254,1.0939142669806154,6,4,0.9641163571924174,0.11097512571607085,False,False
P4,M6,324,964,2.9753086419753085,1.0954085059346044,7,7,0.9674652694040828,0.1376634844579939,False,False
P4,M7,338,1005,2.973372781065089,1.0709185931863712,6,5,0.9376416876779703,0.17441390519169891,False,False
P4,M8,320,956,2.9875,1.111770539869529,5,6,0.9543623792739581,0.010072380408094835,False,False
P4,M9,335,1000,2.985074626865672,1.0617926520075436,6,5,0.9493789129002319,0.11212907743805647,False,False
P4,M10,317,946,2.9842271293375395,1.1091630824266319,7,4,0.9649109916329387,0.08905707664121108,False,False
P5,M1,321,952,2.965732087227414,1.1385709564298163,6,7,0.8201734600274088,0.47338235749845464,False,False
P5,M2,328,977,2.9786585365853657,1.112906280591844,6,8,0.8357238434388258,0.652484613708613,False,False
P5,M3,307,914,2.977198697068404,1.1562325853871647,6,9,0.8062492777777931,0.4619872154791664,False,False
P5,M4,298,888,2.9798657718120807,1.213512166130679,6,8,0.8309491244704434,0.7178094226241842,False,False
P5,M5,297,885,2.9797979797979797,1.1872011911996099,6,8,0.8186658764742776,0.603319488279251,False,False
P5,M6,307,914,2.977198697068404,1.1770497956332528,8,7,0.8670209269564529,0.6184630391010112,False,False
P5,M7,296,884,2.9864864864864864,1.2345545140880612,7,6,0.8210784918008789,0.5782692726654975,False,False
P5,M8,289,861,2.9792387543252596,1.258613188473168,7,8,0.8303450407369053,0.6898263210655653,False,False
P5,M9,289,860,2.9757785467128026,1.2652108849405241,5,7,0.8510677348501027,0.7421198734692953,False,False
P5,M10,293,872,2.9761092150170647,1.214643460869893,6,7,0.8406414549280585,0.6410219783367209,False,False
P6,M1,313,931,2.97444089456869,1.133159288692991,8,8,0.940764026351606,0.4564747352570973,False,False
P6,M2,325,970,2.9846153846153847,1.0771592914965895,8,9,0.9507386383226304,0.9671651471365383,False,False
P6,M3,377,1125,2.9840848806366047,0.971494373748592,9,9,0.9175797689600267,0.3557603265799314,False,False
P6,M4,370,1104,2.983783783783784,1.004063459271739,10,9,0.9321082836853702,0.4625392939026233,False,False
P6,M5,352,1051,2.9857954545454546,1.000274882228455,9,8,0.9225832266525227,0.4936213261474697,False,False
P6,M6,405,1209,2.9851851851851854,0.9483228716004591,9,9,0.9170079082570626,0.343658400390184,False,False
P6,M7,394,1176,2.984771573604061,0.968299109738332,10,9,0.9183642965142766,0.5577700922365306,False,False
P6,M8,389,1159,2.979434447300771,0.973288757745834,10,9,0.9010479968918091,0.26586926822662804,False,False
P6,M9,385,1152,2.9922077922077923,0.9599910425753573,9,8,0.9225809264304897,0.42914940331191836,False,False
P6,M10,409,1220,2.9828850855745723,0.9283187934831576,10,9,0.9124523808746527,0.49722379292614277,False,False
P7,M1,356,1061,2.980337078651685,1.058583541926196,6,9,0.9129336877257618,0.34134104808777765,False,False
P7,M2,348,1040,2.9885057471264367,1.1248835133769706,5,10,0.893684251819411,0.35581576896479833,False,False
P7,M3,351,1041,2.965811965811966,1.119499339072801,9,8,0.8825024302189284,0.28799751146712654,False,False
P7,M4,386,1148,2.9740932642487046,0.99495870035528,9,9,0.8742838641965969,0.039377737525972144,False,False
P7,M5,413,1232,2.983050847457627,0.9376101436060816,8,9,0.8979969790269682,0.19730073061485914,False,False
P7,M6,417,1246,2.988009592326139,0.922401386390266,10,11,0.870406528904925,0.09614263306496734,False,False
P7,M7,406,1213,2.9876847290640396,0.951176544590904,10,10,0.8734591421554034,0.03419007547750619,False,False
P7,M8,416,1243,2.987980769230769,0.913180623700395,9,9,0.8995697980213113,0.17278979249608775,False,False
P7,M9,415,1240,2.9879518072289155,0.8894376024348549,7,10,0.8639188398611436,0.26748849866465735,False,False
P7,M10,433,1295,2.9907621247113165,0.8830497705909551,8,11,0.8947934089333484,0.43554992442034174,False,False
P8,M1,328,981,2.9908536585365852,1.0784983375001032,6,8,0.9667271714146319,0.357372604772601,False,False
P8,M2,327,977,2.9877675840978593,1.1238531983522688,9,8,0.9622412257041139,0.4782785415803451,False,False
P8,M3,343,1020,2.9737609329446064,1.0869069017192472,9,9,0.9615201197995157,0.34771916136252723,False,False
P8,M4,331,981,2.9637462235649545,1.0647983791317541,8,8,0.9633761066751054,0.5201444346688928,False,False
P8,M5,336,1002,2.982142857142857,1.0754256792580679,8,7,0.9711869006942566,0.3949384841047274,False,False
P8,M6,331,981,2.9637462235649545,1.0553098103495808,7,8,0.9574224620815047,0.4774053273864459,False,False
P8,M7,325,970,2.9846153846153847,1.1059123142844147,7,7,0.9636217481865913,0.47013584823864935,False,False
P8,M8,311,928,2.9839228295819935,1.133980569351979,8,8,0.9678207324446433,0.48798896288208055,False,False
